"card_id","cluster","lane","label_en","snomed_code","icd_code","icd_description","chapter_tag","source_map_type"
"strictv2-financial_context-012","financial_context","context_event","Household energy insecurity due to limited financial resources","1354854005","Z59.6","Low income","Z","ALWAYS Z59.6"
"strictv2-legal_context-001","legal_context","context_event","Abuses animals","765438006","R45.6","Physical violence","R","ALWAYS R45.6"
"strictv2-legal_context-002","legal_context","context_event","Aggressive biting","69547003","R45.6","Physical violence","R","ALWAYS R45.6"
"strictv2-legal_context-003","legal_context","context_event","Arrested in police custody","276092001","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strictv2-legal_context-004","legal_context","context_event","At increased risk of emotional abuse","771984002","Z65.8","Other specified problems related to psychosocial circumstances","Z","ALWAYS Z65.8"
"strictv2-legal_context-005","legal_context","context_event","At increased risk of psychological abuse","771983008","Z65.8","Other specified problems related to psychosocial circumstances","Z","ALWAYS Z65.8"
"strictv2-legal_context-006","legal_context","context_event","Convicted for criminal activity","224340002","Z65.0","Conviction in civil and criminal proceedings without imprisonment","Z","ALWAYS Z65.0"
"strictv2-legal_context-007","legal_context","context_event","Court case pending","160814006","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strictv2-legal_context-008","legal_context","context_event","In police custody","224338007","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strictv2-legal_context-009","legal_context","context_event","Involved in criminal activity","224330000","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strictv2-legal_context-010","legal_context","context_event","Involved in criminal law proceedings","224897008","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strictv2-legal_context-011","legal_context","context_event","Legal insurance problem","160812005","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strictv2-legal_context-012","legal_context","context_event","Legal problem","22268004","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strictv2-sleep-001","sleep","symptom","Bad dream","419748005","F51.5","Nightmares","F","ALWAYS F51.5"
"strictv2-sleep-002","sleep","symptom","Behaviorally induced hypersomnia","724749007","F51.1","Nonorganic hypersomnia","F","ALWAYS F51.1"
"strictv2-sleep-003","sleep","symptom","Blank, staring face while sleep walking","247958000","F51.3","Sleepwalking [somnambulism]","F","ALWAYS F51.3"
"strictv2-sleep-004","sleep","symptom","C/O nightmares","162207007","F51.5","Nightmares","F","ALWAYS F51.5"
"strictv2-sleep-005","sleep","symptom","Central sleep apnea","27405005","R06.3","Periodic breathing","R","IF CENTRAL SLEEP APNEA DUE TO PERIODIC BREATHING CHOOSE R06.3 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT"
"strictv2-sleep-006","sleep","symptom","Circadian rhythm sleep disorder","3745000","F51.2","Nonorganic disorder of the sleep-wake schedule","F","IF NON-ORGANIC DISORDER OF THE SLEEP-WAKE SCHEDULE CHOOSE F51.2 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT"
"strictv2-sleep-007","sleep","symptom","Day terrors","17402007","F51.4","Sleep terrors [night terrors]","F","ALWAYS F51.4"
"strictv2-sleep-008","sleep","symptom","Detailed recall of dream","247953009","F51.8","Other nonorganic sleep disorders","F","ALWAYS F51.8"
"strictv2-sleep-009","sleep","symptom","Dream anxiety disorder","111487009","F51.5","Nightmares","F","ALWAYS F51.5"
"strictv2-sleep-010","sleep","symptom","Dream disorder","85418005","F51.8","Other nonorganic sleep disorders","F","ALWAYS F51.8"
"strictv2-sleep-011","sleep","symptom","Dream-like state","19129003","R40.1","Stupor","R","ALWAYS R40.1"
"strictv2-sleep-012","sleep","symptom","Finding related to sleep walking","419057008","F51.3","Sleepwalking [somnambulism]","F","ALWAYS F51.3"
"strictv2-sleep-013","sleep","symptom","Hypersomnia disorder related to another mental disorder","89415002","F51.1","Nonorganic hypersomnia","F","ALWAYS F51.1"
"strictv2-sleep-014","sleep","symptom","Hypersomnia of non-organic origin","230488004","F51.1","Nonorganic hypersomnia","F","ALWAYS F51.1"
